N° C.,Extension,Autres n°,Appellation,Position,Pays,"Province  (Tỉnh, Thành Phố)",District (Huyện ou Thì xã),Commune  (Xã),Village  (Thôn),Localisation inv. 2009-,Localisation inv. 1923-1942,Support,Indice,Lignes,Langue,Dimensions de l'objet (h/l/p) en cm sauf autre mention,"Epoque (ère śaka, etc.)",Epoque (cal. julien),Estampage(s) EFEO,Estampage(s) BnF,Photos estampages EFEO,Photo(s) EFEO,Bibliographie principale (édition),Bibliographie secondaire,Notes,Légende,,
9,,,,Porte extérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,In situ,Piédroit nord,A (centr.),42,ch.,,XIIIe,,7; n. 1942-1943,388 (67),,,,"JA 1888 (1), 101 ; 1891 (1), 77. — BEFEO III, 635xv. — P., 94.",,,,
9,,,,Porte extérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,In situ,Piédroit nord,C (int.),43,ch.,,XIIIe,,7; n. 1940-1941,388 (67),,,,"JA 1888 (1), 101 ; 1891 (1), 77. — BEFEO III, 635xv. — P., 94.",Cœdès comptait 42 lignes,,,
10,,,,Porte intérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,In situ,Piédroit sud,,39,ch.,,XIIIe,,8; n. 1949-1950,384 (43),,,,"JA 1888 (1), 101 ; 1891 (1), 80. — BEFEO III, 635xv. —P., 94.",,,,
11,,,,Porte intérieure de la tour principale,Vietnam,Ninh Thuận,,,Po Klaong Girai,In situ,"(erronément:) Hanoi : B 2, 14 ",Piédroit nord,,12,ch.,,XIIIe,,9; n. 1932,386 (43),,,,"JA 1881 (1), 101 ; 1891 (1), 81. — BEFEO III, 635xv. — P., 94.","1881 sans doute une faute de Cœdès pour 1888 ; ""situation actuelle"" aussi fausse. Le piédroit est in situ.",,,
12,,,,,Vietnam,Ninh Thuận,,,Pō Klauṅ Garai,,In situ,Fragment de pierre,,2,ch.,,,,339,387 (43),,,,"JA 1891 (1), 81. — BEFEO III, 636xvi. — P., 94.",,,,
13,,,,,Vietnam,Ninh Thuận,,,Pō Klauṅ Garai,,In situ,Roc,A2, 3/4,ch.,,972,,255,,,,"BEFEO III, 642.","BEFEO III, 634vi; IX, 205 ; XV (2), 39. — P., 94.",,,,
13,,,,,Vietnam,Ninh Thuận,,,Pō Klauṅ Garai,,In situ,Roc,A1,4 1/4,sk.,,972,,255,,,,"BEFEO III, 642.","BEFEO III, 634vi; IX, 205 ; XV (2), 39. — P., 94.",,,,
13,,,,,Vietnam,Ninh Thuận,,,Pō Klauṅ Garai,,In situ,Roc,C,5    ,ch.,,972,,255,,,,"BEFEO III, 642.","BEFEO III, 634vi; IX, 205 ; XV (2), 39. — P., 94.",,,,
13,,,,,Vietnam,Ninh Thuận,,,Pō Klauṅ Garai,,In situ,Roc,B,7    ,ch.,,972,,255,,,,"BEFEO III, 642.","BEFEO III, 634vi; IX, 205 ; XV (2), 39. — P., 94.",,,,
14,,,,Pō Nagar de Mông-đức / Po Inâ Nagar,Vietnam,Ninh Thuận,Ninh Phước,Phước Hữu,Hữu Đức (Hamu Tanran),In situ,In situ,Stèle usée,,invoc. + 17,sk.,,776,,10; n. 1078,399 (68),,,"ISCC n° XXIV, 231.","JA 1891 (1), 24. — BEFEO III, 633iv. — P., 76.","L'inscription couvre selon Cœdès 2 faces, mais c'est faux. Il s'agit d'une stèle et non d'un roc.",,,
15,,,,,Vietnam,Ninh Thuận,Ninh Phước,Phước Hữu,Pō Romē,BTNT  890/Đ.24,In situ,Statue de la reine Sucǐḥ,,5,ch.,,moderne,,12,381° (43),,,"BEFEO III, 601.","JA 1888 (1), 72. — P., 71. — BEFEO 95-96, 469.",,,,
16,,,,,Vietnam,Ninh Thuận,Ninh Phước,Phước Hữu,Pō Romē,In situ,In situ,Piédroit ruiné,S,15,ch.,,moderne,,14,381AB (43),,,"BEFEO III, 602.","JA 1888 (1), 72. — P., 71.","vérifier si EFEO est. 13/14 correspondent effectivement à N et S, ou l'inverse.",,,
16,,,,,Vietnam,Ninh Thuận,Ninh Phước,Phước Hữu,Pō Romē,In situ,In situ,Piédroit ruiné,N,41,ch.,,moderne,,13,381AB (43),,,"BEFEO III, 602.","JA 1888 (1), 72. — P., 71.","vérifier si EFEO est. 13/14 correspondent effectivement à N et S, ou l'inverse.",,,
17,,,Inscription de Batau Tablah ou Đà Nẻ,,Vietnam,Ninh Thuận,Ninh Phước,Phước Dân (thị trấn),Chung Mỹ,In situ,In situ,Roc,,17,ch.,,1082,,11; n. 1956-1995,"395 (57, 58, 70 et 72)",,,,"JA 1888 (1), 83 ; 1891 (1), 39. — BEFEO III, 635vii; XV (2), 46, 50. — P., 73.",,,,
18,,,,,Vietnam,Ninh Thuận,,,Chung Mỹ,,In situ,Roc,,4,ch.,,1188,,11,395 bis (65),,,,"JA 1888 (1), 96 ; 1891 (1), 57. — P., 73. — BEFEO XV (2), 51.","Numéro annulé. Il s'agit du même roc que celui qui porte C. 17, selon Cœdès, mais il semble s'être trompé. Il n'y pas d'autre inscription sur ledit roc, et on trouve une inscription qui doit correspondre à celle lue par Aymonier à Cà Đú (C. 123). Estampage BnF 395 bis (65) ne semble pas exister, mais 395 (65) est bien un estampage de C. 18=123. Trouver source de l'erreur: peut-être BEFEO XV (2), p. 51.",,,
19,,,,,Vietnam,Ninh Thuận,,,Glai Klauṅ Anơk,BTLS Hanoi LSb 21169,"Hanoi : B 2, 12",Pierre brisée en 4 morceaux,,invocation + 9,ch.,90+/71/20,VIIIe,,129 ; n. 140,394 (44),,,,"JA 1888 (1), 77 ; 1891 (1), 23. — BEFEO III, 633iii; XV (2), 8. — P., 72.","la stèle est brisée, reconstituée, et a perdu (2009) le morceau du mileu de son extrémité propre gauche.",,,
20,,,,,Vietnam,Ninh Thuận,,,Yaṅ Kur,BTLS Hanoi LSb 21141,"Hanoi : B 2, 13",Stèle,B,7,ch.,137+/62/28,1200,,127 ; n. 141,389 (43),,,,"JA 1888 (1), 97 ; 1891 (1), 59. — BEFEO III, 635xiv; XV (2), 9. — P., 75.",,,,
20,,,,,Vietnam,Ninh Thuận,,,Yaṅ Kur,BTLS Hanoi LSb 21141,"Hanoi : B 2, 13",Stèle,A,16,ch.,137+/62/28,1200,,127 ; n. 141,389 (43),,,,"JA 1888 (1), 97 ; 1891 (1), 59. — BEFEO III, 635xiv; XV (2), 9. — P., 75.",,,,
21,,,,,Vietnam,Ninh Thuận,,,Chương-mĩ,,In situ,Roc,,1,ch.,,,,128,391 (44),,,,"BEFEO III, 635xiv bis.— P., 74.",la seule ligne ne comporte qu'un seul mot; est. 128 est encré. Feuille jointe à l'est. BnF 391 (44) explique: « Un mot sur roche au tertre de Phanrang. » Nom du site probablement identique à celui du village de C. 17.,,,
22,,,,,Vietnam,Ninh Thuận,,,Pō Saḥ,,In situ,Stèle,B,9,ch.,,1228,,130; n. 1073,398 (60),,,,"JA 1888 (1), 99 ; 1891 (1), 63. — BEFEO III, 636xvii. — P., 77. —BCAI 1911, 13.",,,,
22,,,,,Vietnam,Ninh Thuận,,,Pō Saḥ,,In situ,Stèle,A,22,ch.,,1228,,130; n. 1073,398 (60),,,,"JA 1888 (1), 99 ; 1891 (1), 63. — BEFEO III, 636xvii. — P., 77. —BCAI 1911, 13.",,,,
23,,,,,Vietnam,Ninh Thuận,,,Bakul,BTLS Hanoi 21162,"Hanoi : B 2, 19",Roche lisse de forme irrégulière,3,2,sk.,75+  x 127 de circonférence,741 (ou 751),,131 ; n. 147,396 (44),EFEOB-est.n0147.jpg,,"ISCC n° XXV, 237.","JA 1888, 27, 71, 78. — JA 1891 (1), 25. — BEFEO III, 633v; XV (2), 11, 47. — P., 79. — ECIC II, 294-295. — ECIC III, 446, 481-484, 486.",Autre nom: Yang Kur.,,,
23,,,,,Vietnam,Ninh Thuận,,,Bakul,BTLS Hanoi 21162,"Hanoi : B 2, 19",Roche lisse de forme irrégulière,2,7,ch.,75+  x 127 de circonférence,741 (ou 751),,131 ; n. 147,396 (44),EFEOB-est.n0147.jpg,,"JA 1891 (1), 25.","JA 1891 (1), 25. — BEFEO III, 636v; XV (2), 11, 47. — P., 79.",Autre nom: Yang Kur.,,,
23,,,,,Vietnam,Ninh Thuận,,,Bakul,BTLS Hanoi 21162,"Hanoi : B 2, 19",Roche lisse de forme irrégulière,1,invocation + 7,sk.,75+  x 127 de circonférence,741 (ou 751),,131 ; n. 147,396 (44),EFEOB-est.n0147.jpg,,"ISCC n° XXV, 237.","JA 1891 (1), 25. — BEFEO III, 636v; XV (2), 11, 47. — P., 79.",Autre nom: Yang Kur.,,,
24,,,,,Vietnam,Ninh Thuận,,,Glai Lamau,BTLS Hanoi 21170,"Hanoi : B 2, 11",Stèle,B,23,sk.,114+/81/12,VIIIe,,16 ; n. 139,393 (63),,,"ISCC n° XXIII, 218.","BEFEO III, 633ii; XV (2), 8. — P., 78.",,,,
24,,,,,Vietnam,Ninh Thuận,,,Glai Lamau,BTLS Hanoi 21170,"Hanoi : B 2, 11",Stèle,A,22,sk.,114+/81/12,732,,16 ; n. 139,393 (63),,,"ISCC n° XXIII, 218.","BEFEO III, 633ii; XV (2), 8. — P., 78.",,,,
25,,,,,Vietnam,Ninh Thuận,,,Đá-trắng,BTNT 1441/Đ.15,In situ,Stèle,B,18,sk.,,721,,15; n. 1952,397 (44),,,"ISCC n° XXII, 207.","JA 1891 (1), 21. — BEFEO III, 633i. — P., 78.",,,,
25,,,,,Vietnam,Ninh Thuận,,,Đá-trắng,BTNT 1441/Đ.15,In situ,Stèle,A,invocation + 19,sk.,,721,,15; n. 1951,397 (44),,,"ISCC n° XXII, 207.","JA 1891 (1), 21. — BEFEO III, 633i. — P., 78.",,A corriger,,
26,,,,,Vietnam,Ninh Thuận,,,Čơk Yaṅ,,(?),Stèle,1,3,sk.,,1185,,,390 (44),,,"ISCC n° XXV, 291.","JA 1891 (1), 55. — BEFEO III, 636xiii. — P., 110.",,,,
26,,,,,Vietnam,Ninh Thuận,,,Čơk Yaṅ,,(?),Stèle,2,3,ch.,,1185,,,390 (44),,,,"ISCC n° XXV, 291. — JA 1891 (1), 55. — BEFEO III, 636xiii. — P., 110.",,,,
27,,,,,Vietnam,Ninh Thuận,,,Pō Meḥ,,(?),Inscription,,5,ch.,,moderne,,,417 (46),,,,,La feuille jointe à BnF 417 (46) indique: « Binh Thuan Po Meḥ près de Sa/Ra Dyan. » Lecture des deux derniers mots incertaine.,,,
28,,,,Tour sud,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Linteau,,3,ch.,,1065 (?),,17 ; n. 236,401 (45),,,,"JA 1888 (1), 80 ; 1891 (1), 36.","Cœdès 1923, p. 151 n. 1 : « Il a paru inutile de surcharger la bibliographie en donnant pour chacune des inscriptions de Pō Nagar la référence aux travaux de M. Parmentier : Le sanctuaire de Pō Nagar, BE., II, 42, et Inventaire, I, p. 129 et suiv. »",,,
29,,,,Tour sud,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord,A (extérieur),4 bûchées + 4 illisibles sur la plinthe,ch.,,antérieure à la suivante,,"18, 19 ; n. 237",402 (45),,,,"JA 1888 (1), 98 ; 1891 (1), 59.",,,,
29,,,,Tour sud,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord,B (intérieur),invocation + 6,ch.,,antérieure à la suivante,,"18, 19 ; n. 237",402 (45),,,,"JA 1888 (1), 98 ; 1891 (1), 59.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,B (antérieure) 2,5,ch.,,Xe,,20 ; n. 227 et n. 228,409 (60),,,,"JA 1891 (1), 29.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,B (antérieure) 4,13,ch.,,1144 (?),,20 ; n. 227 et n. 228,409 (60),,,,"JA 1891 (1), 47.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,B (antérieure) 1,5,ch.,,1155,,20 ; n. 227 et n. 228,409 (60),,,,"JA 1891 (1), 48.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,A (intérieure) 4,1,ch.,,1148,,20 ; n. 227 et n. 228,409 (60),,,,"JA 1891 (1), 47.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,A (intérieure) 3,7,ch.,,1105,,20 ; n. 227 et n. 228,409 (60),,,,"JA 1891 (1), 44.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,A (intérieure) 2.1,2 1/2,sk.,,1082,,20 ; n. 227 et n. 228,409 (60),,,"ISCC n° XXXII, 282.","JA 1891 (1), 41. — BEFEO XV (2), 50, n. 1.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,A (intérieure) 2.2,5 1/2,ch.,,1082,,20 ; n. 227 et n. 228,409 (60),,,,"JA 1891 (1), 41. — BEFEO XV (2), 50, n. 1.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,A (intérieure) 1,25,ch.,,1006,,20 ; n. 227 et n. 228,409 (60),,,,"JA 1891 (1), 33.",,,,
30,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit sud de la porte d'entrée,B (antérieure) 3,13,sk.,,972,,20 ; n. 227 et n. 228,409 (60),,,"ISCC n° XXIX, 270.","BEFEO XV (2), 39.",,,,
30,,,,,Vietnam,,,,,,,,F,,,,,,,,,,,"JA 1891 (1), 29.","Cette inscription semble = C. 30B2, et est probablement à annuler.",,,
31,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte d'entrée,B (nord),7,ch.,,XIIe-XIIIe,,21 ; n. 229 à 231,408 (61),,,,"JA 1891 (1), 55.",,,,
31,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte d'entrée,A3,7,sk.,,XIe,,21 ; n. 229 à 231,408 (61),,,"ISCC n° XXXI, 279.",,,,,
31,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte d'entrée,A4,3,ch.,,(?),,21 ; n. 229 à 231,408 (61),,,"ISCC, 279.",,,,,
31,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte d'entrée,C (sud) 1,4,ch.,,1189,,21 ; n. 229 à 231,408 (61),,,,"JA 1891 (1), 56. — BEFEO XV (2), 51.",,,,
31,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte d'entrée,A (antérieure) 1,invocation + 16,ch.,,1178,,21 ; n. 229 à 231,408 (61),,,,"JA 1891 (1), 53.",,,,
31,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte d'entrée,A2,12,sk.,,986,,21 ; n. 229 à 231,408 (61),,,"ISCC n° XXX, 275.",,,,,
31,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte d'entrée,C2,31,sk.,,739,,21 ; n. 229 à 231,408 (61),,,"ISCC n° XXVIII, 263.",,,,,
32,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,Vestibule de la tour Sud,Piédroit brisé ayant servi de seuil,B,12,ch.,,XIIe-XIIIe,,22 ; n. 234 et n. 235,405 (45),,,,"JA 1888 (1), 103 ; 1891 (1), 60. — BEFEO IX, 412.",,,,
32,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,Vestibule de la tour Sud,Piédroit brisé ayant servi de seuil,A,25,ch.,,XIIe-XIIIe,,22 ; n. 234 et n. 235,405 (45),,,,"JA 1888 (1), 103 ; 1891 (1), 60. — BEFEO IX, 412.",,,,
33,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Inscription ruinée sur la paroi sud du vestibule,,10,sk.,,,,567 ; n. 233,406 (45),,,"ISCC n° XXVII, 260.",,,,,
34,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Paroi nord du vestibule,,3 illisibles,ch.,,,,566 ; n. 232,403 (45),,,,"JA 1888 (1), 78 ; 1891 (1), 27.",,,,
35,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Linteau de la porte intérieure,,quelques lettres,(?),,,,24,,,,,"P., 131.",,,,
36,,,,Tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Piédroit nord de la porte intérieure,,2 mots,sk.,,,,25,404 (45),,,"ISCC n° XXXIV, 290.",,,,,
37,1,,,Tour Nord-Ouest,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Paroi sud du vestibule,,7,ch.,,935,,23 ; n. 238,410 (46),,,"Schweyer, Aséanie 2005 ; BEFEO 2008-09","JA 1888 (1), 76 ; 1891 (1), 24.",,,,
37,1,,,Tour Nord-Ouest,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,,In situ,Paroi sud du vestibule,,3 à 4 lignes ruinées,ch.,,935,,23 ; n. 238,410 (46),,,"Schweyer, Aséanie 2005 ; BEFEO 2008-09","JA 1888 (1), 76 ; 1891 (1), 24.",,,,
38,,,,devant la tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,BTLS Hanoi 21157,"Hanoi : B 2, 10",Stèle,B,22,sk.,88+/50/17,VIIIe,,n. 138,407 (53),,,"ISCC n° XXVI, 242.","BEFEO XI, 268 ; XV (2), 7.",,,,
38,,,,devant la tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,BTLS Hanoi 21157,"Hanoi : B 2, 10",Stèle,c (base),1,sk.,88+/50/17 (base: 6/58/30),VIIIe,,(néant),407 (53),,,"ISCC n° XXVI, 242.","BEFEO XI, 268 ; XV (2), 7.",inscription sur la base dans laquelle s'insère la stèle,,,
38,,,,devant la tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,BTLS Hanoi 21157,"Hanoi : B 2, 10",Stèle,d1,4 1/2,sk.,88+/50/17,VIIIe,,n. 138,407 (53),,,"ISCC n° XXVI, 242.","BEFEO XI, 268 ; XV (2), 7.",,,,
38,,,,devant la tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,BTLS Hanoi 21157,"Hanoi : B 2, 10",Stèle,d2,7 1/2,sk.,88+/50/17,887,,n. 138,407 (53),,,"ISCC n° XXVI, 242.","BEFEO XI, 268 ; XV (2), 7.",,,,
38,,,,devant la tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,BTLS Hanoi 21157,"Hanoi : B 2, 10",Stèle,e,13,sk.,88+/50/17,840,,n. 138,407 (53),,,"ISCC n° XXVI, 242.","BEFEO XI, 268 ; XV (2), 7.",,,,
38,,,,devant la tour principale,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,BTLS Hanoi 21157,"Hanoi : B 2, 10",Stèle,A,invocation + 18,sk.,88+/50/17,706,,(néant),407 (53),,,"ISCC n° XXVI, 242.","BEFEO XI, 268 ; XV (2), 7.",date plutôt 698 ś.?,,,
39,,,,près de la statue de Pō Nagar,Vietnam,Khánh Hoà,,,Pō Nagar de Nha-trang,non trouvée,In situ,Statue de la petite déesse ,,6,ch.,,IXe,,26,400 (45),,,,"JA 1888 (1), 79 ; 1891 (1), 28.",l'estampage EFEO 26 est encré.,,,
40,,,,,Vietnam,Khánh Hoà,,,Võ Cạnh,BTLS Hanoi LSb 32864,"Hanoi : B 2, 1",Bloc de granit ruiné,,15,sk.,218+/74/64 de profondeu partant de la face principale ; circonférence maximale de la base 291,IIe (?),,27 ; n. 436,416 (59),EFEOB-est.n0436_1_bas.jpg à EFEOB-est.n0436_4(2).jpg,,"ISCC n° XX, 191. — BEFEO XV (2), 3.","P., 111.",,,,
41,2,,,,Vietnam,Phú Yên,,,Chơ Đinh,,In situ,Roc,,1,sk.,,Ve,,,415 bis (54),,,"ISCC n° XXI, 199.","BEFEO II, 186. — P., 140.",,,,
41,1,,,,Vietnam,Phú Yên,,,Chơ Đinh,,In situ,Roc,,3,sk.,,Ve,,,415 (54),,,"ISCC n° XXI, 199.","BEFEO II, 186. — P., 140.",,,,
